website,product_name,price,inches
Amazon,Samsung 138 cm (55 inches) 4K Ultra HD Smart LED TV UA55DU7700KLXL (Black),3290.0,138
Amazon,Samsung 189 cm (75 inches) 8K Ultra HD Smart Neo QLED TV QA75QN800CKXXL (Titan Black),50000.0,189
Amazon,Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),5240.0,80
Amazon,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),5990.0,108
Amazon,Samsung 108 cm (43 inches) D Series Crystal 4K Vivid Ultra HD Smart LED TV UA43DUE70BKLXL (Black),990.0,108
Amazon,Samsung 108 cm (43 inches) D Series Crystal 4K Vivid Pro Ultra HD Smart LED TV UA43DUE77AKLXL (Black),4990.0,108
Amazon,Samsung 138 cm (55 inches) D Series Crystal 4K Vivid Pro Ultra HD Smart LED TV UA55DUE77AKLXL (Black),1999.0,138
Amazon,Samsung 108 cm (43 inches) D Series Brighter Crystal 4K Dynamic Ultra HD Smart LED TV UA43DUE80AKLXL (Titan Gray),999.0,108
Amazon,Samsung 138 cm (55 inches) D Series Crystal 4K Vivid Ultra HD Smart LED TV UA55DUE70BKLXL (Black),2999.0,138
Amazon,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ643BPTA (Black),2990.0,80
Vijay Sales,"LG evo C4 Series 139cm (55 inches) 4K Ultra HD Smart OLED TV with webOS 24, Dolby Atmos & Dolby Vision, 120Hz Refresh Rate (OLED55C4XLA)",132990.0,
Vijay Sales,"LG evo C4 Series 164cm (65 inches) 4K Ultra HD Smart OLED TV with webOS 24, Dolby Atmos & Dolby Vision, 120Hz Refresh Rate (OLED65C4XLA)",187990.0,
Vijay Sales,Sony BRAVIA III 75 inches (189cm) | 4K Ultra HD Smart LED Google TV with Dolby Audio | Google Assistant Built-in | Voice Search | K-75S30(Black),143990.0,75
Vijay Sales,Sony BRAVIA III 50 inches (126cm) | 4K Ultra HD Smart LED Google TV with Dolby Audio | Google Assistant Built-in | Voice Search | K-50S30(Black),77999.0,50
Vijay Sales,Sony BRAVIA 7 | 164 cm (65 inches) Mini LED QLED 4K HDR Google TV with Dolby Vision HDR | Features for PlaystationÂ®5| K65XR70 (2024 Model Edition),194999.0,7
Vijay Sales,Sony BRAVIA 8 (164cm) 65 inches | 4K HDR Smart OLED Google TV with Dolby Audio | Google Assistant Built-in | Voice Search | K-65XR80,291990.0,8
Vijay Sales,Samsung 163 cm (65 inches) OLED 4K Smart TV with NQ4 AI Gen2 Processor (QA65S90D),199990.0,163
Vijay Sales,Sony BRAVIA 7 | 189 cm (75 inches) Mini LED QLED Google TV with Dolby Vision HDR | Chromecast Built-In | K75XR70 (2024 Model Edition),325490.0,7
Vijay Sales,"LG 164 cm (65 inches) UR75 4K Ultra HD Smart TV with Alpha 7 AI Processor 4K Gen6, Alexa Built-in, WebOS, ThinQ AI (65UR7550PSC)",69890.0,164
Vijay Sales,"Sony 50 inch (126cm) 4k Ultra HD Smart LED Google TV with High Dynamic Contrast Enhancer, Chromecast Built In, K50S20 (2024 Model Edition)",57940.0,50
Kohinoor Electronics,LG LR68 81.28 cm (32 inch) HD LED Smart webOS 23 TV with AI Upscaling (2024 model) |  32LR686BPSA,20200.0,23
Kohinoor Electronics,TCL 109.22 cm (43 inch) QLED 4K Ultra HD Google TV with Dolby Vision (2024 model) | 43C655,30000.0,
Kohinoor Electronics,SAMSUNG 138 cm (55 inch) 4K Ultra HD LED Tizen TV with Dynamic Crystal Color | UA55DU8300,61500.0,138
Kohinoor Electronics,TCL C Series 140 cm (55 inch) QLED 4K Ultra HD Google TV with Dolby Vision (2024 model) | 55C655,39999.0,140
Kohinoor Electronics,TCL P655 140 cm (55 inch) 4K Ultra HD LED Google TV with Dolby Audio (2024 model) | 55P655,35000.0,140
Kohinoor Electronics,TCL S Series 80 cm (32 inch) Full HD LED Smart Android TV with Built- in Google Assistant (2024 model) | 32S5500AF,11000.0,80
Kohinoor Electronics,TCL P755 108 cm (43 inch) 4K Ultra HD LED Google TV with Dolby Vision and Dolby Atmos (2024 model) | 43P755,26000.0,108
Kohinoor Electronics,Sony BRAVIA II 55 inches (139cm) | 4K Ultra HD Smart LED Google TV with Dolby Audio | Chromecast Built-in | Voice Search | K-55S25 (Black),63000.0,55
Kohinoor Electronics,LG 108 cm (43 inches) 4K Ultra HD Smart LED TV 43UQ7350PTA (Ceramic Black),35000.0,108
Kohinoor Electronics,"LG 164 cm (65 inches) UR75 4K Ultra HD Smart TV with Alpha 7 AI Processor 4K Gen6, Alexa Built-in, WebOS, ThinQ AI (65UR7550PSC)",70000.0,164
